Name,Firm,Chambers Rank,Years PE,Chambers PE Rank,LinkedIn Presence,Law360 News,Law360 Cases,Google News,Speaking Engagements (2024/2025),Thought Pieces (2025),Firm PR Pieces,PE Brand Rank,PE Practice Band Rank,score
Matthew Abbott,Paul Weiss,2,11,2,0,86,118,0,0,11,3,3,2,238.0
Jane Smith 81,Kirkland & Ellis,1,14,1,0,95,30,17,4,10,0,5,1,178.0
Jane Williams 33,Kirkland & Ellis,5,13,3,1,100,20,19,5,1,3,2,4,176.0
Emily Williams 20,Baker McKenzie,3,17,2,0,74,40,17,3,10,0,4,4,174.0
Jane Williams 48,Baker McKenzie,3,9,3,0,91,32,19,2,5,5,1,4,174.0
Susan Jones 59,Kirkland & Ellis,1,10,5,1,98,31,10,1,8,4,1,4,174.0
John Miller 69,DLA Piper,2,12,1,1,100,15,19,3,7,4,4,5,173.0
Susan Brown 39,Latham & Watkins,1,10,4,0,100,28,16,1,3,3,1,4,171.0
Michael Miller 14,DLA Piper,2,4,2,0,89,35,12,2,10,5,4,3,168.0
Emily Williams 85,Kirkland & Ellis,3,6,1,0,96,44,1,4,4,0,1,5,165.0
John Williams 23,Latham & Watkins,2,12,1,1,91,44,0,4,3,0,1,5,164.0
Peter Williams 5,Latham & Watkins,2,11,4,0,97,22,6,4,10,0,5,1,162.0
Jane Jones 18,Latham & Watkins,4,2,2,0,97,25,14,1,7,4,4,2,162.0
John Miller 45,Skadden,1,18,1,1,90,24,10,2,1,1,5,4,158.0
Emily Williams 49,DLA Piper,1,3,5,0,89,29,11,5,6,1,2,1,153.0
Emily Brown 26,Skadden,1,2,1,0,78,42,18,1,2,4,1,2,152.0
Michael Davis 90,Baker McKenzie,5,19,2,1,69,31,8,0,6,5,3,3,152.0
Michael Williams 47,DLA Piper,1,8,2,1,96,17,11,4,3,2,5,1,151.0
Michael Smith 70,Kirkland & Ellis,2,8,3,0,99,18,4,4,2,2,5,4,151.0
Peter Davis 83,Kirkland & Ellis,2,11,5,0,98,5,11,1,8,1,5,4,151.0
Emily Smith 37,Latham & Watkins,4,14,2,0,53,49,12,0,5,5,5,1,150.0
Jane Miller 84,Latham & Watkins,3,6,5,0,76,27,15,3,8,3,1,2,149.0
John Smith 38,Kirkland & Ellis,5,19,5,0,45,48,10,0,10,2,3,1,148.0
Jane Jones 76,DLA Piper,5,20,2,0,79,4,19,3,6,0,4,5,147.0
Jane Brown 21,DLA Piper,1,4,2,1,92,11,16,4,5,3,3,4,146.0
Emily Brown 3,Skadden,5,14,4,0,65,39,0,4,7,1,1,5,145.0
Emily Jones 73,Kirkland & Ellis,1,3,2,0,74,32,14,2,6,4,5,2,145.0
